0.0000, 0x3F, 0x20
2.8125, 0x3F, 0x21
5.6250, 0x3F, 0x23
8.4375, 0x3F, 0x24
11.2500, 0x3F, 0x26
14.0625, 0x3E, 0x27
16.8750, 0x3E, 0x28
19.6875, 0x3D, 0x2A
22.5000, 0x3D, 0x2B
25.3125, 0x3C, 0x2D
28.1250, 0x3C, 0x2E
30.9375, 0x3B, 0x2F
33.7500, 0x3A, 0x30
36.5625, 0x39, 0x31
39.3750, 0x38, 0x33
42.1875, 0x37, 0x34
45.0000, 0x36, 0x35
47.8125, 0x35, 0x36
50.6250, 0x34, 0x37
53.4375, 0x33, 0x38
56.2500, 0x32, 0x38
59.0625, 0x30, 0x39
61.8750, 0x2F, 0x3A
64.6875, 0x2E, 0x3A
67.5000, 0x2C, 0x3B
70.3125, 0x2B, 0x3C
73.1250, 0x2A, 0x3C
75.9375, 0x28, 0x3C
78.7500, 0x27, 0x3D
81.5625, 0x25, 0x3D
84.3750, 0x24, 0x3D
87.1875, 0x22, 0x3D
90.0000, 0x21, 0x3D
92.8125, 0x01, 0x3D
95.6250, 0x03, 0x3D
98.4375, 0x04, 0x3D
101.2500, 0x06, 0x3D
104.0625, 0x07, 0x3C
106.8750, 0x08, 0x3C
109.6875, 0x0A, 0x3C
112.5000, 0x0B, 0x3B
115.3125, 0x0D, 0x3A
118.1250, 0x0E, 0x3A
120.9375, 0x0F, 0x39
123.7500, 0x11, 0x38
126.5625, 0x12, 0x38
129.3750, 0x13, 0x37
132.1875, 0x14, 0x36
135.0000, 0x16, 0x35
137.8125, 0x17, 0x34
140.6250, 0x18, 0x33
143.4375, 0x19, 0x31
146.2500, 0x19, 0x30
149.0625, 0x1A, 0x2F
151.8750, 0x1B, 0x2E
154.6875, 0x1C, 0x2D
157.5000, 0x1C, 0x2B
160.3125, 0x1D, 0x2A
163.1250, 0x1E, 0x28
165.9375, 0x1E, 0x27
168.7500, 0x1E, 0x26
171.5625, 0x1F, 0x24
174.3750, 0x1F, 0x23
177.1875, 0x1F, 0x21
180.0000, 0x1F, 0x20
182.8125, 0x1F, 0x01
185.6250, 0x1F, 0x03
188.4375, 0x1F, 0x04
191.2500, 0x1F, 0x06
194.0625, 0x1E, 0x07
196.8750, 0x1E, 0x08
199.6875, 0x1D, 0x0A
202.5000, 0x1D, 0x0B
205.3125, 0x1C, 0x0D
208.1250, 0x1C, 0x0E
210.9375, 0x1B, 0x0F
213.7500, 0x1A, 0x10
216.5625, 0x19, 0x11
219.3750, 0x18, 0x13
222.1875, 0x17, 0x14
225.0000, 0x16, 0x15
227.8125, 0x15, 0x16
230.6250, 0x14, 0x17
233.4375, 0x13, 0x18
236.2500, 0x12, 0x18
239.0625, 0x10, 0x19
241.8750, 0x0F, 0x1A
244.6875, 0x0E, 0x1A
247.5000, 0x0C, 0x1B
250.3125, 0x0B, 0x1C
253.1250, 0x0A, 0x1C
255.9375, 0x08, 0x1C
258.7500, 0x07, 0x1D
261.5625, 0x05, 0x1D
264.3750, 0x04, 0x1D
267.1875, 0x02, 0x1D
270.0000, 0x01, 0x1D
272.8125, 0x21, 0x1D
275.6250, 0x23, 0x1D
278.4375, 0x24, 0x1D
281.2500, 0x26, 0x1D
284.0625, 0x27, 0x1C
286.8750, 0x28, 0x1C
289.6875, 0x2A, 0x1C
292.5000, 0x2B, 0x1B
295.3125, 0x2D, 0x1A
298.1250, 0x2E, 0x1A
300.9375, 0x2F, 0x19
303.7500, 0x31, 0x18
306.5625, 0x32, 0x18
309.3750, 0x33, 0x17
312.1875, 0x34, 0x16
315.0000, 0x36, 0x15
317.8125, 0x37, 0x14
320.6250, 0x38, 0x13
323.4375, 0x39, 0x11
326.2500, 0x39, 0x10
329.0625, 0x3A, 0x0F
331.8750, 0x3B, 0x0E
334.6875, 0x3C, 0x0D
337.5000, 0x3C, 0x0B
340.3125, 0x3D, 0x0A
343.1250, 0x3E, 0x08
345.9375, 0x3E, 0x07
348.7500, 0x3E, 0x06
351.5625, 0x3F, 0x04
354.3750, 0x3F, 0x03
357.1875, 0x3F, 0x01
